세무서명,도로명 주소,우편번호,전화번호,팩스번호,세무서코드,계좌번호,관할구역
서울지방국세청,서울특별시 종로구 종로5길 86(수송동),03151,02-2114-2200,02-722-0528,100,011895,서울특별시 전체
강남세무서,서울특별시 강남구 학동로 425(청담동),06068,02-519-4200,02-546-0502,211,180616,"서울특별시 강남구 중 신사동, 논현동, 압구정동, 청담동"
강동세무서,서울특별시 강동구 천호대로 1139(길동),05355,02-2224-0200,02-2224-0250,212,180629,서울특별시 강동구
강서세무서,서울특별시 강서구 마곡서1로 60(마곡동),07799,02-2630-4200(교환실),02-2679-8777,109,012027,서울특별시 강서구
관악세무서,서울특별시 관악구 문성로 187(신림동),08773,02-2173-4200,02-2173-4269,145,024675,서울특별시 관악구
구로세무서,서울특별시 영등포구 경인로 778(문래동 1가),07363,02-2630-7200,02-2631-8958,113,011756,서울특별시 구로구
금천세무서,서울특별시 금천구 시흥대로 315 금천롯데캐슬골드파크4차 업무시설동,08608,02-850-4200 (야간:850-4591),02-850-4635,119,014371,서울특별시 금천구 전체
남대문세무서,서울특별시 중구 삼일대로 340(저동1가) 나라키움저동빌딩,04551,02-2260-0200,02-755-7114,104,011785,"서울특별시 중구 중 남대문로 1·3·4·5가, 을지로 1·2·3·4·5가, 주교동, 삼각동, 수하동, 장교동, 수표동, 저동 1·2가, 입정동, 산림동, 무교동, 다동, 북창동, 남창동, 봉래동 1·2가, 회현동 1·2·3가, 소공동, 태평로 1·2가, 서소문동, 정동, 순화동, 의주로 1·2가, 중림동, 만리동 1·2가, 충정로 1가"
노원세무서,서울특별시 도봉구 노해로69길 14 (창동),01415,02-3499-0200,0503-111-9927,217,001562,"서울특별시 노원구, 도봉구 중 창동"
도봉세무서,서울특별시 강북구 도봉로 117 (미아동),01177,02-944-0200,02-984-2580,210,011811,"서울특별시 강북구, 도봉구(창동 제외)"
동대문세무서,서울특별시 동대문구 약령시로 159 (청량리동),02489,02-958-0200,02-958-0159,204,011824,서울특별시 동대문구 
동작세무서,서울특별시 영등포구 대방천로 259 (신길동),07432,02-840-9200,02-831-4137,108,000181,"서울특별시 동작구, 영등포구 중 대림동, 도림동, 신길동"
마포세무서,서울특별시 마포구 독막로 234(신수동),04090,02-705-7200,02-717-7255,105,011840,서울특별시 마포구
반포세무서,서울특별시 서초구 방배로163 (방배동),06573,02-590-4200,02-591-1311,114,180645,"서울특별시 서초구 중 잠원동,  반포동,  방배동"
삼성세무서,"서울특별시 강남구 테헤란로 114(역삼동) 1,5,6,9,10층 삼성세무서",06233,02-3011-7200,02-564-1129,120,181149,"서울특별시 강남구(신사동, 논현동, 압구정동, 청담동, 역삼동, 도곡동 제외)"
서대문세무서,서울특별시 서대문구 세무서길 11 (홍제동 251),03629,02-2287-4200,02-379-0552,110,011879,서울특별시 서대문구
서초세무서,"서울특별시 강남구 테헤란로 114 (역삼동) 역삼빌딩 3~4층, 9층 조사과, 10층 납세자보호담당관",06233,02-3011-6200,02-563-8030,214,180658,"서울특별시 서초구(방배동, 반포동, 잠원동 제외)"
성동세무서,서울특별시 성동구 광나루로 297(송정동),04802,02-460-4200 (국세관련 모든 상담은 국번없이 126),02-468-0016,206,011905,"서울특별시 성동구, 광진구"
성북세무서,서울특별시 성북구 삼선교로16길 13,02863,02-760-8200,02-744-6160,209,011918,서울특별시 성북구
송파세무서,서울특별시 송파구 강동대로 62 (풍납동),05506,02-2224-9200,02-409-8329,215,180661,"서울특별시 송파구 중 송파동, 장지동, 거여동, 마천동, 가락동, 문정동, 석촌동(잠실동, 신천동, 풍납동, 삼전동, 방이동, 오금동은 잠실세무서 관할구역으로 02-2055-9200으로 문의하시기 바랍니다)"
양천세무서,서울특별시 양천구 목동동로 165 (신정동),08013,02-2650-9200,02-2652-0058,117,012878,서울특별시 양천구
역삼세무서,"서울특별시 강남구 테헤란로 114(역삼동) 역삼빌딩 7, 8층 및 9층 일부",06233,02-3011-8200,02-558-1123,220,181822,"강남구 역삼동, 도곡동"
영등포세무서,서울특별시 영등포구 선유로 243,07209,02-2630-9200,02-2678-4909,107,011934,"서울특별시 영등포구(대림동, 도림동 및 신길동 제외)"
용산세무서,서울특별시 용산구 서빙고로24길15(한강로3가 65-342),04388,02-748-8200,02-792-2619,106,011947,서울특별시 용산구
은평세무서,서울특별시 은평구 은평로 185 은평세무서 (녹번동 185),03384,02-2132-9200,02-2132-9571,147,026165,서울특별시 은평구
잠실세무서,서울특별시 송파구 강동대로 62(풍납2동 388-6),05506,02-2055-9200,02-475-0881,230,019868,"서울특별시 송파구 중 잠실동, 신천동, 풍납동, 삼전동, 방이동, 오금동"
종로세무서,서울특별시 종로구 삼일대로30길22,03133,02-760-9200,02-744-4939,101,011976,서울특별시 종로구
중랑세무서,서울특별시 중랑구 망우로 176(상봉동 137-1),02118,02-2170-0200,02-493-7315,146,025454,서울특별시 중랑구
중부세무서,서울특별시 중구 퇴계로 170 (남학동 12-3),04627,02-2260-9200,02-2268-0582,201,011989,"서울특별시 중구 중 광희동 1,2가,  남대문로 2가,  남산동 1,2,3가,  남학동,  명동 1,2가,  무학동,  묵정동,  방산동,  신당동,  쌍림동,  예관동,  예장동,  오장동,  을지로 6,7가,  인현동 1,2가,  장충동 1,2가,  주자동,  초동,  충무로 1,2,3,4,5가,  필동 1,2,3가,  황학동,  흥인동."
중부지방국세청,경기도 수원시 장안구 경수대로 1110-17 (파장동 644),16206,(031)888-4200,(031)888-7612,200,000165,"경기도 일부, 강원도(철원군 제외)[중부지방국세청 관내 25개 세무서 :안양, 동안양, 안산, 동안산, 수원, 동수원, 화성, 동화성, 평택(안성지서), 성남, 분당, 이천, 경기광주(하남지서), 남양주, 구리, 시흥, 용인, 기흥, 춘천, 홍천, 원주, 영월, 삼척(태백지서), 강릉, 속초]"
강릉세무서,강원특별자치도 강릉시 수리골길 65 (교동),25473,033-610-9200,033-641-4186,226,150154,"강원특별자치도 강릉시. 평창군중 대관령면,진부면,용평면 및 정선군 중 임계면"
경기광주세무서,경기도 광주시 문화로 127,12752,031-880-9200,031-769-0417,233,023744,"경기도 광주시, 하남시  (하남시는 경기광주세무서 하남지서 관할)"
